学生ID,姓名,班级,年级,科目,考试日期,成绩,出勤率,作业分,任课教师
STU-012,学生012,四班,高三,物理,2025-06-14,69,0.93,77,教师B
STU-013,学生013,五班,高三,化学,2025-06-14,76,0.94,82,教师C
STU-014,学生014,一班,高三,历史,2025-06-14,83,0.95,87,教师D
STU-015,学生015,二班,高三,语文,2025-06-14,90,0.96,92,教师E
STU-016,学生016,三班,高三,数学,2025-06-14,150,0.97,97,教师F
STU-017,学生017,五班,高三,英语,2025-06-21,-8,0.98,74,教师A
STU-018,学生018,一班,高三,物理,2025-06-21,76,1.45,79,教师B
STU-019,学生019,二班,高三,化学,2025-06-21,83,0.86,84,教师C
STU-020,学生020,三班,高三,历史,2025-06-21,95,0.87,89,教师D
STU-021,学生021,四班,高三,语文,2025-06-21,62,0.88,94,教师E
STU-022,学生022,五班,高三,数学,2025-06-21,69,0.89,71,教师F
STU-023,学生023,一班,高三,英语,2025-06-28,76,0.90,76,教师A
STU-024,学生024,二班,高三,物理,2025-06-28,83,0.91,81,教师B
STU-025,学生025,三班,高三,化学,2025-06-28,90,0.92,86,教师C
STU-026,学生026,四班,高三,历史,2025-06-28,62,0.93,91,教师D
STU-027,学生027,五班,高三,语文,2025-06-28,69,0.94,96,教师E
STU-028,学生028,一班,高三,数学,2025-06-28,76,0.95,73,教师F
STU-029,学生029,三班,高一,英语,2025-07-05,88,0.96,78,教师A
STU-030,学生030,四班,高一,物理,2025-07-05,90,0.97,83,教师B
STU-031,学生031,五班,高一,化学,2025-07-05,62,0.98,88,教师C
STU-032,学生032,一班,高一,历史,2025-07-05,69,0.99,93,教师D
STU-033,学生033,二班,高一,语文,2025-07-05,76,0.86,70,教师E
STU-034,学生034,三班,高一,数学,2025-07-05,83,0.87,75,教师F
STU-035,学生035,四班,高一,英语,2025-07-12,90,0.88,80,教师A
STU-036,学生036,五班,高一,物理,2025-07-12,62,0.89,85,教师B
STU-037,学生037,一班,高一,化学,2025-07-12,69,0.90,90,教师C
STU-038,学生038,二班,高一,历史,2025-07-12,81,0.91,95,教师D
STU-021,学生021,二班,高一,化学,2025-03-22,62,0.92,86,教师C
STU-016,学生016,五班,高二,物理,2025-05-03,62,0.99,93,教师B
